🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen25-f1-0.3750.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
------------------------------------------------------------
Step   28/246 | Bars:   28 | Time: 1767873600000 | Score: 0.0000000006 | Target: 0 |
Step   29/246 | Bars:   29 | Time: 1767888000000 | Score: 0.0000000117 | Target: 0 |
Step   30/246 | Bars:   30 | Time: 1767902400000 | Score: 0.0000000112 | Target: 0 |
Step   31/246 | Bars:   31 | Time: 1767916800000 | Score: 0.0000000040 | Target: 0 |
Step   32/246 | Bars:   32 | Time: 1767931200000 | Score: 0.0000000038 | Target: 0 |
Step   33/246 | Bars:   33 | Time: 1767945600000 | Score: 0.0000000108 | Target: 0 |
Step   34/246 | Bars:   34 | Time: 1767960000000 | Score: 0.0000000486 | Target: 0 |
Step   35/246 | Bars:   35 | Time: 1767974400000 | Score: 0.0000010341 | Target: 1 | *          HIT
Step   36/246 | Bars:   36 | Time: 1767988800000 | Score: 0.0000000493 | Target: 0 | ******
Step   37/246 | Bars:   37 | Time: 1768176000000 | Score: 0.0000000000 | Target: 0 |
Step   38/246 | Bars:   38 | Time: 1768190400000 | Score: 0.0000000000 | Target: 0 |
Step   39/246 | Bars:   39 | Time: 1768204800000 | Score: 0.0000000000 | Target: 0 |
Step   40/246 | Bars:   40 | Time: 1768219200000 | Score: 0.0000000000 | Target: 0 |
Step   41/246 | Bars:   41 | Time: 1768233600000 | Score: 0.0000000000 | Target: 0 |
Step   42/246 | Bars:   42 | Time: 1768248000000 | Score: 0.0000000000 | Target: 0 |
Step   43/246 | Bars:   43 | Time: 1768262400000 | Score: 0.0000000001 | Target: 0 |
Step   44/246 | Bars:   44 | Time: 1768276800000 | Score: 0.0000000000 | Target: 0 |
Step   45/246 | Bars:   45 | Time: 1768291200000 | Score: 0.0000000000 | Target: 0 |
Step   46/246 | Bars:   46 | Time: 1768305600000 | Score: 0.0000000001 | Target: 0 |
Step   47/246 | Bars:   47 | Time: 1768320000000 | Score: 0.0000000013 | Target: 0 |
Step   48/246 | Bars:   48 | Time: 1768334400000 | Score: 0.0000000002 | Target: 0 |
Step   49/246 | Bars:   49 | Time: 1768348800000 | Score: 0.0000000053 | Target: 0 |
Step   50/246 | Bars:   50 | Time: 1768363200000 | Score: 0.0000000037 | Target: 0 |
Step   51/246 | Bars:   51 | Time: 1768377600000 | Score: 0.0000000012 | Target: 0 |
Step   52/246 | Bars:   52 | Time: 1768392000000 | Score: 0.0000000000 | Target: 0 |
Step   53/246 | Bars:   53 | Time: 1768406400000 | Score: 0.0000000001 | Target: 0 |
Step   54/246 | Bars:   54 | Time: 1768420800000 | Score: 0.0000000003 | Target: 0 |
Step   55/246 | Bars:   55 | Time: 1768435200000 | Score: 0.0000000005 | Target: 0 |
Step   56/246 | Bars:   56 | Time: 1768449600000 | Score: 0.0000000034 | Target: 0 |
Step   57/246 | Bars:   57 | Time: 1768464000000 | Score: 0.0000000025 | Target: 0 |
Step   58/246 | Bars:   58 | Time: 1768478400000 | Score: 0.0000000470 | Target: 0 |
Step   59/246 | Bars:   59 | Time: 1768492800000 | Score: 0.0000001753 | Target: 0 | *
Step   60/246 | Bars:   60 | Time: 1768507200000 | Score: 0.0000001848 | Target: 0 | **
Step   61/246 | Bars:   61 | Time: 1768521600000 | Score: 0.0000002467 | Target: 0 | ***
Step   62/246 | Bars:   62 | Time: 1768536000000 | Score: 0.0000000567 | Target: 0 | ****
Step   63/246 | Bars:   63 | Time: 1768550400000 | Score: 0.0000000448 | Target: 0 | *****
Step   64/246 | Bars:   64 | Time: 1768564800000 | Score: 0.0000000008 | Target: 0 | ******
Step   65/246 | Bars:   65 | Time: 1768579200000 | Score: 0.0000003769 | Target: 0 | *
Step   66/246 | Bars:   66 | Time: 1768593600000 | Score: 0.0000000834 | Target: 0 | **
Step   67/246 | Bars:   67 | Time: 1768780800000 | Score: 0.0000000022 | Target: 1 | ***        HIT
Step   68/246 | Bars:   68 | Time: 1768795200000 | Score: 0.0000000194 | Target: 0 | ******
Step   69/246 | Bars:   69 | Time: 1768809600000 | Score: 0.0000002249 | Target: 0 | *
Step   70/246 | Bars:   70 | Time: 1768824000000 | Score: 0.0000000802 | Target: 0 | **
Step   71/246 | Bars:   71 | Time: 1768838400000 | Score: 0.0000000009 | Target: 0 | ***
Step   72/246 | Bars:   72 | Time: 1768852800000 | Score: 0.0000000009 | Target: 0 | ****
Step   73/246 | Bars:   73 | Time: 1768867200000 | Score: 0.0000000092 | Target: 0 | *****
Step   74/246 | Bars:   74 | Time: 1768881600000 | Score: 0.0000000001 | Target: 0 | ******
Step   75/246 | Bars:   75 | Time: 1768896000000 | Score: 0.0000000000 | Target: 0 |
Step   76/246 | Bars:   76 | Time: 1768910400000 | Score: 0.0000000000 | Target: 0 |
Step   77/246 | Bars:   77 | Time: 1768924800000 | Score: 0.0000000000 | Target: 0 |
Step   78/246 | Bars:   78 | Time: 1768939200000 | Score: 0.0000000006 | Target: 0 |
Step   79/246 | Bars:   79 | Time: 1768953600000 | Score: 0.0000000001 | Target: 0 |
Step   80/246 | Bars:   80 | Time: 1768968000000 | Score: 0.0000000001 | Target: 0 |
Step   81/246 | Bars:   81 | Time: 1768982400000 | Score: 0.0000000007 | Target: 0 |
Step   82/246 | Bars:   82 | Time: 1768996800000 | Score: 0.0000000000 | Target: 0 |
Step   83/246 | Bars:   83 | Time: 1769011200000 | Score: 0.0000000042 | Target: 0 |
Step   84/246 | Bars:   84 | Time: 1769025600000 | Score: 0.0000000294 | Target: 0 |
Step   85/246 | Bars:   85 | Time: 1769040000000 | Score: 0.0000000149 | Target: 0 |
Step   86/246 | Bars:   86 | Time: 1769054400000 | Score: 0.0000000257 | Target: 0 |
Step   87/246 | Bars:   87 | Time: 1769068800000 | Score: 0.0000000118 | Target: 0 |
Step   88/246 | Bars:   88 | Time: 1769083200000 | Score: 0.0000000007 | Target: 0 |
Step   89/246 | Bars:   89 | Time: 1769097600000 | Score: 0.0000000000 | Target: 0 |
Step   90/246 | Bars:   90 | Time: 1769112000000 | Score: 0.0000000000 | Target: 0 |
Step   91/246 | Bars:   91 | Time: 1769126400000 | Score: 0.0000000000 | Target: 0 |
Step   92/246 | Bars:   92 | Time: 1769140800000 | Score: 0.0000000000 | Target: 0 |
Step   93/246 | Bars:   93 | Time: 1769155200000 | Score: 0.0000000001 | Target: 0 |
Step   94/246 | Bars:   94 | Time: 1769169600000 | Score: 0.0000000000 | Target: 0 |
Step   95/246 | Bars:   95 | Time: 1769184000000 | Score: 0.0000000000 | Target: 0 |
Step   96/246 | Bars:   96 | Time: 1769198400000 | Score: 0.0000000000 | Target: 0 |
Step   97/246 | Bars:   97 | Time: 1769385600000 | Score: 0.0000000000 | Target: 0 |
Step   98/246 | Bars:   98 | Time: 1769400000000 | Score: 0.0000000000 | Target: 0 |
Step   99/246 | Bars:   99 | Time: 1769414400000 | Score: 0.0000000000 | Target: 0 |
Step  100/246 | Bars:  100 | Time: 1769428800000 | Score: 0.0000000000 | Target: 0 |
