GBPUSD
🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen13-f1-0.6316.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['volatility-ratio_20_2.0_1.0', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'is-open', 'williamsr_14', 'kaufman-er_10', 'aroon_14', 'stochastic_5_3_3']
------------------------------------------------------------
Step   50/246 | Bars:   50 | Time: 1768363200000 | Score: 0.0000000002 | Target: 0 |
Step   51/246 | Bars:   51 | Time: 1768377600000 | Score: 0.0000000001 | Target: 0 |
Step   52/246 | Bars:   52 | Time: 1768392000000 | Score: 0.0000000000 | Target: 0 |
Step   53/246 | Bars:   53 | Time: 1768406400000 | Score: 0.0000311137 | Target: 0 | *
Step   54/246 | Bars:   54 | Time: 1768420800000 | Score: 0.0000558056 | Target: 0 | **
Step   55/246 | Bars:   55 | Time: 1768435200000 | Score: 0.0000031667 | Target: 0 | **
Step   56/246 | Bars:   56 | Time: 1768449600000 | Score: 0.0000002226 | Target: 0 | .
Step   57/246 | Bars:   57 | Time: 1768464000000 | Score: 0.0000003286 | Target: 0 |
Step   58/246 | Bars:   58 | Time: 1768478400000 | Score: 0.0063282023 | Target: 0 | **
Step   59/246 | Bars:   59 | Time: 1768492800000 | Score: 0.1769583076 | Target: 0 | *****
Step   60/246 | Bars:   60 | Time: 1768507200000 | Score: 0.0412978828 | Target: 0 | ******
Step   61/246 | Bars:   61 | Time: 1768521600000 | Score: 0.0050791381 | Target: 0 | .....
Step   62/246 | Bars:   62 | Time: 1768536000000 | Score: 0.0044525857 | Target: 0 | ....
Step   63/246 | Bars:   63 | Time: 1768550400000 | Score: 0.0010838283 | Target: 0 | ****
Step   64/246 | Bars:   64 | Time: 1768564800000 | Score: 0.0001381911 | Target: 0 | ****
Step   65/246 | Bars:   65 | Time: 1768579200000 | Score: 0.0000003274 | Target: 0 | ..
Step   66/246 | Bars:   66 | Time: 1768593600000 | Score: 0.0000003465 | Target: 0 |
Step   67/246 | Bars:   67 | Time: 1768780800000 | Score: 0.2618603110 | Target: 1 | ***    HIT
Step   68/246 | Bars:   68 | Time: 1768795200000 | Score: 0.0193692800 | Target: 0 | ******
Step   69/246 | Bars:   69 | Time: 1768809600000 | Score: 0.0014481401 | Target: 0 | .....
Step   70/246 | Bars:   70 | Time: 1768824000000 | Score: 0.0000035110 | Target: 0 | ...
Step   71/246 | Bars:   71 | Time: 1768838400000 | Score: 0.0000000015 | Target: 0 | .
Step   72/246 | Bars:   72 | Time: 1768852800000 | Score: 0.0000000034 | Target: 0 |
Step   73/246 | Bars:   73 | Time: 1768867200000 | Score: 0.0000005253 | Target: 0 |
Step   74/246 | Bars:   74 | Time: 1768881600000 | Score: 0.0000006822 | Target: 0 |
Step   75/246 | Bars:   75 | Time: 1768896000000 | Score: 0.0000000041 | Target: 0 |
Step   76/246 | Bars:   76 | Time: 1768910400000 | Score: 0.0000001294 | Target: 0 |
Step   77/246 | Bars:   77 | Time: 1768924800000 | Score: 0.0000001495 | Target: 0 |
Step   78/246 | Bars:   78 | Time: 1768939200000 | Score: 0.0000010740 | Target: 0 | *
Step   79/246 | Bars:   79 | Time: 1768953600000 | Score: 0.0000001543 | Target: 0 | *
Step   80/246 | Bars:   80 | Time: 1768968000000 | Score: 0.0000003207 | Target: 0 |
Step   81/246 | Bars:   81 | Time: 1768982400000 | Score: 0.0000000101 | Target: 0 |
Step   82/246 | Bars:   82 | Time: 1768996800000 | Score: 0.0000000124 | Target: 1 |        MISS
Step   83/246 | Bars:   83 | Time: 1769011200000 | Score: 0.0000000001 | Target: 0 |
Step   84/246 | Bars:   84 | Time: 1769025600000 | Score: 0.0203121230 | Target: 0 | ***
Step   85/246 | Bars:   85 | Time: 1769040000000 | Score: 0.0003751665 | Target: 0 | ****
Step   86/246 | Bars:   86 | Time: 1769054400000 | Score: 0.0000776197 | Target: 0 | ...
Step   87/246 | Bars:   87 | Time: 1769068800000 | Score: 0.0000153453 | Target: 0 | ..
Step   88/246 | Bars:   88 | Time: 1769083200000 | Score: 0.0000002739 | Target: 1 | .      HIT
Step   89/246 | Bars:   89 | Time: 1769097600000 | Score: 0.0000005814 | Target: 0 |
Step   90/246 | Bars:   90 | Time: 1769112000000 | Score: 0.0000000842 | Target: 0 |
Step   91/246 | Bars:   91 | Time: 1769126400000 | Score: 0.0000000023 | Target: 0 |
Step   92/246 | Bars:   92 | Time: 1769140800000 | Score: 0.0000000013 | Target: 0 |
Step   93/246 | Bars:   93 | Time: 1769155200000 | Score: 0.0000000000 | Target: 0 |
Step   94/246 | Bars:   94 | Time: 1769169600000 | Score: 0.0000000001 | Target: 0 |
Step   95/246 | Bars:   95 | Time: 1769184000000 | Score: 0.0000000000 | Target: 0 |
Step   96/246 | Bars:   96 | Time: 1769198400000 | Score: 0.0000000002 | Target: 0 |
Step   97/246 | Bars:   97 | Time: 1769385600000 | Score: 0.0000007942 | Target: 0 |
Step   98/246 | Bars:   98 | Time: 1769400000000 | Score: 0.0000000651 | Target: 0 |
Step   99/246 | Bars:   99 | Time: 1769414400000 | Score: 0.0000000144 | Target: 0 |
Step  100/246 | Bars:  100 | Time: 1769428800000 | Score: 0.0000000041 | Target: 0 |
Step  101/246 | Bars:  101 | Time: 1769443200000 | Score: 0.0000000866 | Target: 0 |
Step  102/246 | Bars:  102 | Time: 1769457600000 | Score: 0.0000001648 | Target: 0 |
Step  103/246 | Bars:  103 | Time: 1769472000000 | Score: 0.0000001500 | Target: 0 |
Step  104/246 | Bars:  104 | Time: 1769486400000 | Score: 0.0000001031 | Target: 0 |
Step  105/246 | Bars:  105 | Time: 1769500800000 | Score: 0.0000000049 | Target: 0 |
Step  106/246 | Bars:  106 | Time: 1769515200000 | Score: 0.0000001822 | Target: 0 |
Step  107/246 | Bars:  107 | Time: 1769529600000 | Score: 0.0000000051 | Target: 0 |
Step  108/246 | Bars:  108 | Time: 1769544000000 | Score: 0.0000000032 | Target: 0 |
Step  109/246 | Bars:  109 | Time: 1769558400000 | Score: 0.0000017894 | Target: 0 | *
Step  110/246 | Bars:  110 | Time: 1769572800000 | Score: 0.0000000961 | Target: 0 | *
