🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 9 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen12-f1-0.7692.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['williamsr_14', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'cci_20', 'is-open', 'ppo_12_26_9', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'example-multi-tf-rsi_GBP-USD_14_14_14_14']
------------------------------------------------------------
Step   85/301 | Bars:   85 | Score: 0.0000020244 | Target: 0
Step   86/301 | Bars:   86 | Score: 0.0000130951 | Target: 0
Step   87/301 | Bars:   87 | Score: 0.0000213027 | Target: 0
Step   88/301 | Bars:   88 | Score: 0.0001110510 | Target: 0
Step   89/301 | Bars:   89 | Score: 0.0000219137 | Target: 0
Step   90/301 | Bars:   90 | Score: 0.0001226415 | Target: 0
Step   91/301 | Bars:   91 | Score: 0.0164283160 | Target: 0
Step   92/301 | Bars:   92 | Score: 0.0280012321 | Target: 0
Step   93/301 | Bars:   93 | Score: 0.7526032925 | Target: 1 ENTER_POSITION
Step   94/301 | Bars:   94 | Score: 0.2717827857 | Target: 0 ENTER_POSITION
Step   95/301 | Bars:   95 | Score: 0.1718487442 | Target: 0
Step   96/301 | Bars:   96 | Score: 0.0591242015 | Target: 0
Step   97/301 | Bars:   97 | Score: 0.1794515401 | Target: 0
Step   98/301 | Bars:   98 | Score: 0.0000000629 | Target: 0
Step   99/301 | Bars:   99 | Score: 0.0000000001 | Target: 0
Step  100/301 | Bars:  100 | Score: 0.0000000000 | Target: 0
Step  101/301 | Bars:  101 | Score: 0.0000000001 | Target: 0
Step  102/301 | Bars:  102 | Score: 0.0000000000 | Target: 0
Step  103/301 | Bars:  103 | Score: 0.0000000000 | Target: 0
Step  104/301 | Bars:  104 | Score: 0.0000000000 | Target: 0
Step  105/301 | Bars:  105 | Score: 0.0000000229 | Target: 0
Step  106/301 | Bars:  106 | Score: 0.0000001187 | Target: 0
Step  107/301 | Bars:  107 | Score: 0.0000004736 | Target: 0
Step  108/301 | Bars:  108 | Score: 0.0000000073 | Target: 0
Step  109/301 | Bars:  109 | Score: 0.0000000280 | Target: 0
Step  110/301 | Bars:  110 | Score: 0.0000000100 | Target: 0
Step  111/301 | Bars:  111 | Score: 0.0000000038 | Target: 0
Step  112/301 | Bars:  112 | Score: 0.0000001924 | Target: 0
Step  113/301 | Bars:  113 | Score: 0.0000000052 | Target: 0
Step  114/301 | Bars:  114 | Score: 0.0000001334 | Target: 0
Step  115/301 | Bars:  115 | Score: 0.0000000321 | Target: 0
Step  116/301 | Bars:  116 | Score: 0.0000000001 | Target: 0
Step  117/301 | Bars:  117 | Score: 0.0000000014 | Target: 0
Step  118/301 | Bars:  118 | Score: 0.0000000045 | Target: 0
Step  119/301 | Bars:  119 | Score: 0.0001275575 | Target: 0
Step  120/301 | Bars:  120 | Score: 0.0088290088 | Target: 0
Step  121/301 | Bars:  121 | Score: 0.0155648515 | Target: 0
Step  122/301 | Bars:  122 | Score: 0.0002783731 | Target: 0
Step  123/301 | Bars:  123 | Score: 0.0000020621 | Target: 1
Step  124/301 | Bars:  124 | Score: 0.0000000000 | Target: 0
Step  125/301 | Bars:  125 | Score: 0.0000000000 | Target: 0
Step  126/301 | Bars:  126 | Score: 0.0000000000 | Target: 0
Step  127/301 | Bars:  127 | Score: 0.0000000000 | Target: 0
Step  128/301 | Bars:  128 | Score: 0.0000000000 | Target: 0
Step  129/301 | Bars:  129 | Score: 0.0000000000 | Target: 0
Step  130/301 | Bars:  130 | Score: 0.0000000001 | Target: 0
Step  131/301 | Bars:  131 | Score: 0.0000000006 | Target: 0
Step  132/301 | Bars:  132 | Score: 0.0000000003 | Target: 0
Step  133/301 | Bars:  133 | Score: 0.0000008328 | Target: 0
Step  134/301 | Bars:  134 | Score: 0.0000034025 | Target: 0
Step  135/301 | Bars:  135 | Score: 0.0000036621 | Target: 0
Step  136/301 | Bars:  136 | Score: 0.0000092590 | Target: 0
Step  137/301 | Bars:  137 | Score: 0.0000129421 | Target: 0
Step  138/301 | Bars:  138 | Score: 0.0008806973 | Target: 0
Step  139/301 | Bars:  139 | Score: 0.0257435311 | Target: 0
Step  140/301 | Bars:  140 | Score: 0.0221083704 | Target: 0
Step  141/301 | Bars:  141 | Score: 0.1036054119 | Target: 0
Step  142/301 | Bars:  142 | Score: 0.0258348249 | Target: 0
Step  143/301 | Bars:  143 | Score: 0.0006960382 | Target: 0
Step  144/301 | Bars:  144 | Score: 0.0001873960 | Target: 0
Step  145/301 | Bars:  145 | Score: 0.0000133725 | Target: 0
Step  146/301 | Bars:  146 | Score: 0.0000306028 | Target: 0
Step  147/301 | Bars:  147 | Score: 0.0001374715 | Target: 0
Step  148/301 | Bars:  148 | Score: 0.0182382669 | Target: 0
Step  149/301 | Bars:  149 | Score: 0.1294585913 | Target: 0
Step  150/301 | Bars:  150 | Score: 0.0531287752 | Target: 0
Step  151/301 | Bars:  151 | Score: 0.1941045076 | Target: 0
Step  152/301 | Bars:  152 | Score: 0.5583379269 | Target: 1 ENTER_POSITION
Step  153/301 | Bars:  153 | Score: 0.2231531739 | Target: 0
Step  154/301 | Bars:  154 | Score: 0.1505906582 | Target: 0
Step  155/301 | Bars:  155 | Score: 0.0060743638 | Target: 0
Step  156/301 | Bars:  156 | Score: 0.0000766944 | Target: 0
Step  157/301 | Bars:  157 | Score: 0.0000143603 | Target: 0
Step  158/301 | Bars:  158 | Score: 0.0000042092 | Target: 0
Step  159/301 | Bars:  159 | Score: 0.0000000594 | Target: 0
Step  160/301 | Bars:  160 | Score: 0.0000000004 | Target: 0
Step  161/301 | Bars:  161 | Score: 0.0000000053 | Target: 0
Step  162/301 | Bars:  162 | Score: 0.0000000051 | Target: 0
Step  163/301 | Bars:  163 | Score: 0.0000002843 | Target: 0
Step  164/301 | Bars:  164 | Score: 0.0000015176 | Target: 0
Step  165/301 | Bars:  165 | Score: 0.0000077030 | Target: 0
Step  166/301 | Bars:  166 | Score: 0.0003104500 | Target: 0
